word,tag
career,personal
record,personal
top,personal
goal,personal
rating,personal
history,personal
performance,personal
decision,personal
heisman,personal
trophy,personal
debut,personal
absence,personal
opener,personal
remaining,personal
duty,personal
outset,personal
finest,personal
preeminent,personal
gold,personal
resting,personal
citation,personal
primary,personal
evidence,personal
he man,personal
file,personal
truancy,personal
settlement,personal
horseman,personal
category,personal
cut,personal
judgment,personal
cup,personal
introduction,personal
opening,personal
passage,personal
note,personal
intention,personal
waiting,personal
good old days,personal
herdsman,personal
conduct,personal
objective,personal
pilgrimage,personal
assessment,personal
headman,personal
completion,personal
accord,personal
creation,personal
dominant,personal
vacancy,personal
keepsake,personal
inauguration,personal
pausing,personal
determination,personal
arrangement,personal
ambition,personal
antiquity,personal
valuation,personal
achievement,personal
prize,personal
he-man,personal
target,personal
presentation,personal
appearance,personal
orbit,personal
halting,personal
race,personal
absenteeism,personal
testimony,personal
stopping,personal
yesteryear,personal
appraisal,personal
hooky,personal
starting,descriptor
backup,descriptor
loss,descriptor
starter,descriptor
victory,descriptor
playing,descriptor
led,descriptor
played,descriptor
late,descriptor
super,descriptor
winning,descriptor
replaced,descriptor
passer,descriptor
losing,descriptor
streak,descriptor
ahead,descriptor
leading,descriptor
short,descriptor
ready,descriptor
veteran,descriptor
filling,descriptor
perfect,descriptor
winner,descriptor
undefeated,descriptor
move,descriptor
precise,descriptor
dance,descriptor
number one,descriptor
caper,descriptor
old-time,descriptor
alternate,descriptor
stuffing,descriptor
dressing,descriptor
outmoded,descriptor
originator,descriptor
skilled,descriptor
advantage,descriptor
reigning,descriptor
unbeaten,descriptor
qualified,descriptor
fall,descriptor
unconquered,descriptor
handy,descriptor
advanced,descriptor
sensational,descriptor
repossessed,descriptor
topnotch,descriptor
accessible,descriptor
force,descriptor
disaster,descriptor
maneuver,descriptor
regained,descriptor
magnificent,descriptor
obsolete,descriptor
measure,descriptor
odd,descriptor
substitute,descriptor
innovator,descriptor
expert,descriptor
foolproof,descriptor
short-lived,descriptor
superb,descriptor
pioneer,descriptor
conquering,descriptor
falling,descriptor
trifle,descriptor
condensed,descriptor
hero,descriptor
slow,descriptor
debt,descriptor
accident,descriptor
shift,descriptor
motion,descriptor
origin,descriptor
extra,descriptor
terse,descriptor
manage,descriptor
sweep,descriptor
apt,descriptor
well-known,descriptor
champ,descriptor
trained,descriptor
unsuccessful,descriptor
toy,descriptor
ripe,descriptor
ploy,descriptor
insides,descriptor
victorious,descriptor
forward,descriptor
recovered,descriptor
champion,descriptor
successful,descriptor
doomed,descriptor
disport,descriptor
outdated,descriptor
belated,descriptor
inventor,descriptor
wise,descriptor
triumphant,descriptor
layer,descriptor
stream,descriptor
outstanding,descriptor
defeated,descriptor
dash,descriptor
strain,descriptor
stroke,descriptor
mixture,descriptor
corny,descriptor
damage,descriptor
blown,descriptor
reinstated,descriptor
ideal,descriptor
pure,descriptor
attend,descriptor
earlier,descriptor
splendid,descriptor
failing,descriptor
backward,descriptor
restored,descriptor
injury,health
injured,health
concussion,health
shoulder,health
knee,health
foot,health
injuries,health
thumb,health
healthy,health
torn,health
broken,health
hamstring,health
collarbone,health
sprained,health
clavicle,health
broke,health
hinder,health
cramp,health
tough,health
classical,health
bump,health
debilitate,health
take on,health
bruise,health
accept,health
wrenched,health
collating,health
chill bone,health
carry,health
hoof,health
blow,health
immobilize,health
damaged,health
bankrupt,health
athletic,health
paw,health
carbine,health
divided,health
strapped,health
cripple,health
clinical,health
trauma,health
penniless,health
pad,health
advise,health
clavigers,health
vigorous,health
normal,health
handicap,health
healthful,health
strained,health
clerical,health
patella,health
hurt,health
destitute,health
popliteal,health
mutilated,health
bear,health
address,health
carbon,health
beseech,health
insolvent,health
defective,health
assume,health
shock,health
clarion,health
greet,health
ragged,health
spoiled,health
cleavage,health
wounded,health
cracked,health
crippled,health
threw,action
running,action
beat,action
throwing,action
throw,action
hit,action
sacked,action
starts,action
missed,action
completed,action
throws,action
benched,action
returned,action
expected,action
thrown,action
intercepted,action
caught,action
signed,action
allowed,action
picked,action
suffered,action
scoring,action
tackle,action
passed,action
scored,action
ducks,action
sidelined,action
returns,action
picks,action
selection,action
shot,action
dynamic,action
forsaken,action
kickoff,action
ended,action
under arrest,action
captured,action
add,action
enlisted,action
kaput,action
exchanged,action
seized,action
terminate,action
rebound,action
rack up,action
propelled,action
choice,action
entangled,action
prime,action
bat,action
strayed,action
heaved,action
arrested,action
evade,action
discarded,action
endorsed,action
concluded,action
prevent,action
expel,action
reduce,action
crouch,action
dawn,action
functioning,action
flower,action
proceeding,action
apparatus,action
witnessed,action
confess,action
written,action
cull,action
accouterment,action
avow,action
punch,action
weary,action
thrust,action
goods,action
shove,action
experience,action
swing,action
misplaced,action
elect,action
habitual,action
downgrade,action
repaid,action
lob,action
conventional,action
debase,action
paraphernalia,action
concede,action
sidestep,action
gear,action
fire,action
neglected,action
registered,action
dismiss,action
rejected,action
repeated,action
count,action
wearied,action
tossed,action
dodge,action
lessen,action
endure,action
launched,action
constant,action
exhausted,action
flung,action
moved,action
impair,action
cut off,action
built,action
grant,action
fling,action
cross,action
prefer,action
familiar,action
go through,action
tally,action
refunded,action
dive,action
forgotten,action
reach,action
deflect,action
restoration,action
discharge,action
recovery,action
reappeared,action
seize,action
arrival,action
finished,action
entry,action
fatigued,action
